hallmark_name	anova_f_statistic	anova_p_value	cg	library_type	anova_p_value_bonferroni	significant_anova
HALLMARK_CHOLESTEROL_HOMEOSTASIS	3.3684249752197624	0.03591389160244057	Medulloblastoma	stranded	1	FALSE
HALLMARK_COAGULATION	3.7903290470382562	0.024086460272039652	Medulloblastoma	stranded	1	FALSE
HALLMARK_COMPLEMENT	3.954983343826112	0.020674572856060697	Medulloblastoma	stranded	1	FALSE
HALLMARK_DNA_REPAIR	0.6895726531779869	0.567666954080433	Medulloblastoma	stranded	1	FALSE
HALLMARK_E2F_TARGETS	21.736642109663723	6.658767582916832e-7	Medulloblastoma	stranded	3.329383791458416e-5	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.1733160616337748	0.1186165459441621	Medulloblastoma	stranded	1	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	4.0821111655033215	0.018396620894686595	Medulloblastoma	stranded	0.9198310447343298	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	2.8831381857448624	0.05769394283154238	Medulloblastoma	stranded	1	FALSE
HALLMARK_FATTY_ACID_METABOLISM	2.3622986564509265	0.09760923896180776	Medulloblastoma	stranded	1	FALSE
HALLMARK_G2M_CHECKPOINT	17.077029486089753	4.696595402432358e-6	Medulloblastoma	stranded	2.3482977012161788e-4	TRUE
HALLMARK_GLYCOLYSIS	3.780635766945028	0.024305359432553783	Medulloblastoma	stranded	1	FALSE
HALLMARK_HEDGEHOG_SIGNALING	3.3802529942311197	0.0355082534525484	Medulloblastoma	stranded	1	FALSE
HALLMARK_HEME_METABOLISM	1.384373338047162	0.2726541091887606	Medulloblastoma	stranded	1	FALSE
HALLMARK_HYPOXIA	3.282637733766541	0.03900878846120782	Medulloblastoma	stranded	1	FALSE
HALLMARK_IL2_STAT5_SIGNALING	1.821386021448782	0.1714108963624057	Medulloblastoma	stranded	1	FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	3.3022557919210453	0.03827666453807601	Medulloblastoma	stranded	1	FALSE
HALLMARK_INFLAMMATORY_RESPONSE	2.8979544268823982	0.056851900732772034	Medulloblastoma	stranded	1	FALSE
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.278679082958937	0.10637419882738317	Medulloblastoma	stranded	1	FALSE
HALLMARK_INTERFERON_GAMMA_RESPONSE	2.7291291283662322	0.06727766381272235	Medulloblastoma	stranded	1	FALSE
HALLMARK_KRAS_SIGNALING_DN	1.8885032136855715	0.1597131298634866	Medulloblastoma	stranded	1	FALSE
HALLMARK_KRAS_SIGNALING_UP	1.26415157935192	0.3099806944926798	Medulloblastoma	stranded	1	FALSE
HALLMARK_MITOTIC_SPINDLE	5.062243611074353	0.007736560935713548	Medulloblastoma	stranded	0.3868280467856774	FALSE
HALLMARK_MTORC1_SIGNALING	1.9907760910705534	0.14346296309044868	Medulloblastoma	stranded	1	FALSE
HALLMARK_MYC_TARGETS_V1	0.6610200674708265	0.5844219184906357	Medulloblastoma	stranded	1	FALSE
HALLMARK_MYC_TARGETS_V2	1.8376795571170337	0.1684915527420704	Medulloblastoma	stranded	1	FALSE
HALLMARK_MYOGENESIS	3.786245090606815	0.02417842710960866	Medulloblastoma	stranded	1	FALSE
HALLMARK_NOTCH_SIGNALING	5.139065059925843	0.007246401890916641	Medulloblastoma	stranded	0.3623200945458321	FALSE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	2.1061017951535748	0.12719421754817276	Medulloblastoma	stranded	1	FALSE
HALLMARK_P53_PATHWAY	2.700930634651803	0.06920911570527619	Medulloblastoma	stranded	1	FALSE
HALLMARK_PANCREAS_BETA_CELLS	2.9497913148245507	0.05400755808068661	Medulloblastoma	stranded	1	FALSE
HALLMARK_PEROXISOME	0.4357830566679345	0.7294728943157336	Medulloblastoma	stranded	1	FALSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	4.090482306842026	0.018256411618893163	Medulloblastoma	stranded	0.9128205809446581	FALSE
HALLMARK_PROTEIN_SECRETION	4.015600648313004	0.01955267889875036	Medulloblastoma	stranded	0.977633944937518	FALSE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	4.212941338408581	0.016331674866383445	Medulloblastoma	stranded	0.8165837433191723	FALSE
HALLMARK_SPERMATOGENESIS	12.215906100974294	5.519135429800935e-5	Medulloblastoma	stranded	0.0027595677149004675	TRUE
HALLMARK_TGF_BETA_SIGNALING	2.5204485226881372	0.08305445081190899	Medulloblastoma	stranded	1	FALSE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.5958004580386558	0.2176669607629392	Medulloblastoma	stranded	1	FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1.9071516472271783	0.15661275611996783	Medulloblastoma	stranded	1	FALSE
HALLMARK_UV_RESPONSE_DN	1.7433307034859622	0.18614221979517995	Medulloblastoma	stranded	1	FALSE
HALLMARK_UV_RESPONSE_UP	0.8691485185949086	0.4712909380894582	Medulloblastoma	stranded	1	FALSE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.41799997177256104	0.7417637118395526	Medulloblastoma	stranded	1	FALSE
HALLMARK_XENOBIOTIC_METABOLISM	4.547274730564336	0.012106404156468721	Medulloblastoma	stranded	0.6053202078234361	FALSE
HALLMARK_ADIPOGENESIS	1.5048404886300886	0.2860041359905941	ATRT	stranded	1	FALSE
HALLMARK_ALLOGRAFT_REJECTION	11.365859813013765	0.006332468521598955	ATRT	stranded	0.31662342607994776	FALSE
HALLMARK_ANDROGEN_RESPONSE	2.6503410406147236	0.13902437807365745	ATRT	stranded	1	FALSE
HALLMARK_ANGIOGENESIS	13.132890748750595	0.004274163025289429	ATRT	stranded	0.21370815126447143	FALSE
HALLMARK_APICAL_JUNCTION	7.454134053801409	0.018438049445911785	ATRT	stranded	0.9219024722955892	FALSE
HALLMARK_APICAL_SURFACE	0.21120863815520127	0.8145811555460241	ATRT	stranded	1	FALSE
HALLMARK_APOPTOSIS	0.5000809673222032	0.6266101388386606	ATRT	stranded	1	FALSE
HALLMARK_BILE_ACID_METABOLISM	0.13225632473188423	0.8782546237647383	ATRT	stranded	1	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	1.2516387532412607	0.3429937451932174	ATRT	stranded	1	FALSE
HALLMARK_COAGULATION	14.075519709733957	0.003524191823064893	ATRT	stranded	0.17620959115324464	FALSE
HALLMARK_COMPLEMENT	10.026064329177178	0.008813290496490007	ATRT	stranded	0.44066452482450036	FALSE
HALLMARK_DNA_REPAIR	6.091615887614988	0.02935059642687603	ATRT	stranded	1	FALSE
HALLMARK_E2F_TARGETS	15.67402586354318	0.002598612805566582	ATRT	stranded	0.1299306402783291	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	7.253234797772234	0.019672121794617362	ATRT	stranded	0.9836060897308682	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	4.854157632461478	0.04759691728531031	ATRT	stranded	1	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	2.5373307201115174	0.1483476843039651	ATRT	stranded	1	FALSE
HALLMARK_FATTY_ACID_METABOLISM	3.319078393205823	0.09687199952466138	ATRT	stranded	1	FALSE
HALLMARK_G2M_CHECKPOINT	50.28118056266613	7.031241191497771e-5	ATRT	stranded	0.0035156205957488857	TRUE
HALLMARK_GLYCOLYSIS	1.1319521833420754	0.3750281946394705	ATRT	stranded	1	FALSE
HALLMARK_HEDGEHOG_SIGNALING	1.3055146469611414	0.3297224260724295	ATRT	stranded	1	FALSE
HALLMARK_HEME_METABOLISM	0.40106831307721036	0.6840623863139064	ATRT	stranded	1	FALSE
HALLMARK_HYPOXIA	4.306728028008103	0.06033877398909286	ATRT	stranded	1	FALSE
HALLMARK_IL2_STAT5_SIGNALING	4.660928586847404	0.051659432846854966	ATRT	stranded	1	FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	10.866873400645252	0.007136252831736257	ATRT	stranded	0.35681264158681286	FALSE
HALLMARK_INFLAMMATORY_RESPONSE	15.403839797226068	0.0027309456472416854	ATRT	stranded	0.13654728236208427	FALSE
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.9518407343335489	0.4308732067146003	ATRT	stranded	1	FALSE
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.7822590662422806	0.23679319372255533	ATRT	stranded	1	FALSE
HALLMARK_KRAS_SIGNALING_DN	4.066173149636114	0.06732419822450617	ATRT	stranded	1	FALSE
HALLMARK_KRAS_SIGNALING_UP	11.151757748895351	0.006662298730812992	ATRT	stranded	0.3331149365406496	FALSE
HALLMARK_MITOTIC_SPINDLE	13.281090705679915	0.004143501574451717	ATRT	stranded	0.20717507872258586	FALSE
HALLMARK_MTORC1_SIGNALING	2.7282644316670215	0.1330311987987483	ATRT	stranded	1	FALSE
HALLMARK_MYC_TARGETS_V1	4.667395344222295	0.05151641481606827	ATRT	stranded	1	FALSE
HALLMARK_MYC_TARGETS_V2	9.105233895127403	0.011280022739511486	ATRT	stranded	0.5640011369755743	FALSE
HALLMARK_MYOGENESIS	38.24994921735938	1.705855832597231e-4	ATRT	stranded	0.008529279162986155	TRUE
HALLMARK_NOTCH_SIGNALING	5.925601475646533	0.03120012962695493	ATRT	stranded	1	FALSE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	2.94460459066125	0.11804597622416302	ATRT	stranded	1	FALSE
HALLMARK_P53_PATHWAY	0.4569713543555543	0.6508306289087008	ATRT	stranded	1	FALSE
HALLMARK_PANCREAS_BETA_CELLS	0.548165824281983	0.600944169351624	ATRT	stranded	1	FALSE
HALLMARK_PEROXISOME	2.4277885649609026	0.15816620303494394	ATRT	stranded	1	FALSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	1.5808825027955726	0.27130083091508383	ATRT	stranded	1	FALSE
HALLMARK_PROTEIN_SECRETION	2.552407139560101	0.147058348037329	ATRT	stranded	1	FALSE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.16052537415522664	0.8547442333003025	ATRT	stranded	1	FALSE
HALLMARK_SPERMATOGENESIS	7.574686190155939	0.017745087849937058	ATRT	stranded	0.8872543924968529	FALSE
HALLMARK_TGF_BETA_SIGNALING	0.04710900726968218	0.9542832090684948	ATRT	stranded	1	FALSE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	5.155473192035684	0.04204557543547096	ATRT	stranded	1	FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	5.247804067570795	0.04051272817372403	ATRT	stranded	1	FALSE
HALLMARK_UV_RESPONSE_DN	2.4160985120746274	0.15926277020633223	ATRT	stranded	1	FALSE
HALLMARK_UV_RESPONSE_UP	0.562423489828108	0.5935946440567005	ATRT	stranded	1	FALSE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	2.0082624924643553	0.20449700739573262	ATRT	stranded	1	FALSE
HALLMARK_XENOBIOTIC_METABOLISM	0.8869283019410507	0.4536033751036548	ATRT	stranded	1	FALSE
HALLMARK_ADIPOGENESIS	12.369974641176047	9.804450556677913e-4	DMG	stranded	0.049022252783389564	FALSE
HALLMARK_ALLOGRAFT_REJECTION	4.4955113398664395	0.032812288251599174	DMG	stranded	1	FALSE
HALLMARK_ANDROGEN_RESPONSE	4.883511286217616	0.026190346376298742	DMG	stranded	1	FALSE
HALLMARK_ANGIOGENESIS	0.2724446561551751	0.7657575679534292	DMG	stranded	1	FALSE
HALLMARK_APICAL_JUNCTION	3.0983773076984673	0.07936901712290631	DMG	stranded	1	FALSE
HALLMARK_APICAL_SURFACE	3.15980578117411	0.07614515114334465	DMG	stranded	1	FALSE
HALLMARK_APOPTOSIS	3.833164652753426	0.04913829071108519	DMG	stranded	1	FALSE
HALLMARK_BILE_ACID_METABOLISM	7.875834537960299	0.00574542146152192	DMG	stranded	0.287271073076096	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	4.874181898912871	0.02633029455643757	DMG	stranded	1	FALSE
HALLMARK_COAGULATION	2.9427654082067036	0.08826570930300871	DMG	stranded	1	FALSE
HALLMARK_COMPLEMENT	6.711123010689393	0.009950124889389317	DMG	stranded	0.49750624446946584	FALSE
HALLMARK_DNA_REPAIR	2.801743137856135	0.0973349010173829	DMG	stranded	1	FALSE
HALLMARK_E2F_TARGETS	0.20739054898446851	0.8153394448141336	DMG	stranded	1	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.5210599416830858	0.6057862240251457	DMG	stranded	1	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	5.65373056186532	0.01711293067756361	DMG	stranded	0.8556465338781806	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	6.4201263834900475	0.011500133072503778	DMG	stranded	0.5750066536251889	FALSE
HALLMARK_FATTY_ACID_METABOLISM	8.618355570906047	0.004141495638357444	DMG	stranded	0.2070747819178722	FALSE
HALLMARK_G2M_CHECKPOINT	0.10489880218980088	0.9011700025056022	DMG	stranded	1	FALSE
HALLMARK_GLYCOLYSIS	4.41109614473868	0.03449787395010457	DMG	stranded	1	FALSE
HALLMARK_HEDGEHOG_SIGNALING	1.535177217121292	0.25203817748376994	DMG	stranded	1	FALSE
HALLMARK_HEME_METABOLISM	10.197894981050286	0.0021708789312500447	DMG	stranded	0.10854394656250224	FALSE
HALLMARK_HYPOXIA	1.400532412421047	0.2813004868407714	DMG	stranded	1	FALSE
HALLMARK_IL2_STAT5_SIGNALING	3.476041322754699	0.06176013860919251	DMG	stranded	1	FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	5.180577342046949	0.022152299120703753	DMG	stranded	1	FALSE
HALLMARK_INFLAMMATORY_RESPONSE	2.950137816117202	0.08781908232607813	DMG	stranded	1	FALSE
HALLMARK_INTERFERON_ALPHA_RESPONSE	3.7991962779592274	0.05020132058524434	DMG	stranded	1	FALSE
HALLMARK_INTERFERON_GAMMA_RESPONSE	6.158206548421735	0.013137649212444575	DMG	stranded	0.6568824606222288	FALSE
HALLMARK_KRAS_SIGNALING_DN	1.655599231725362	0.22880927357916064	DMG	stranded	1	FALSE
HALLMARK_KRAS_SIGNALING_UP	4.988205154583483	0.024677299484219352	DMG	stranded	1	FALSE
HALLMARK_MITOTIC_SPINDLE	1.4295147219048128	0.27468431099575036	DMG	stranded	1	FALSE
HALLMARK_MTORC1_SIGNALING	2.6793927897819727	0.10608307937627431	DMG	stranded	1	FALSE
HALLMARK_MYC_TARGETS_V1	0.5042259730967491	0.6153126583278616	DMG	stranded	1	FALSE
HALLMARK_MYC_TARGETS_V2	0.4117695996406442	0.6708210398027956	DMG	stranded	1	FALSE
HALLMARK_MYOGENESIS	3.4235556974762917	0.06391448485666085	DMG	stranded	1	FALSE
HALLMARK_NOTCH_SIGNALING	3.9832238757806926	0.044742497733396794	DMG	stranded	1	FALSE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	5.61195972130201	0.017500203619122138	DMG	stranded	0.8750101809561069	FALSE
HALLMARK_P53_PATHWAY	3.529862204285737	0.059637514617153636	DMG	stranded	1	FALSE
HALLMARK_PANCREAS_BETA_CELLS	2.0347050674700737	0.17029874680465806	DMG	stranded	1	FALSE
HALLMARK_PEROXISOME	12.651634094544024	8.904281606388393e-4	DMG	stranded	0.04452140803194197	FALSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	4.75575016290077	0.028184019277984734	DMG	stranded	1	FALSE
HALLMARK_PROTEIN_SECRETION	7.366647806459491	0.007263102351297566	DMG	stranded	0.3631551175648783	FALSE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	20.97444716647333	8.529008798247313e-5	DMG	stranded	0.0042645043991236566	TRUE
HALLMARK_SPERMATOGENESIS	0.5641983155649852	0.5821408554834261	DMG	stranded	1	FALSE
HALLMARK_TGF_BETA_SIGNALING	4.504414020841647	0.03264012611120659	DMG	stranded	1	FALSE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.5292957088239266	0.601187621161763	DMG	stranded	1	FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	2.3107093858932513	0.13847332485984723	DMG	stranded	1	FALSE
HALLMARK_UV_RESPONSE_DN	2.5954159458841164	0.1126134198586868	DMG	stranded	1	FALSE
HALLMARK_UV_RESPONSE_UP	3.0476423022979118	0.08215082101027439	DMG	stranded	1	FALSE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	2.310849863454088	0.13845897493614592	DMG	stranded	1	FALSE
HALLMARK_XENOBIOTIC_METABOLISM	17.177123214570354	2.2428423390790083e-4	DMG	stranded	0.011214211695395042	FALSE
HALLMARK_ADIPOGENESIS	0.44853432937024895	0.7203670503538305	Ependymoma	stranded	1	FALSE
HALLMARK_ALLOGRAFT_REJECTION	5.841014371158253	0.003280519758850993	Ependymoma	stranded	0.16402598794254963	FALSE
HALLMARK_ANDROGEN_RESPONSE	3.795339648015355	0.021607299623933547	Ependymoma	stranded	1	FALSE
HALLMARK_ANGIOGENESIS	3.076448305219296	0.04438550334380803	Ependymoma	stranded	1	FALSE
HALLMARK_APICAL_JUNCTION	2.197359277698216	0.1114241270881987	Ependymoma	stranded	1	FALSE
HALLMARK_APICAL_SURFACE	2.157701186115947	0.11625655372618846	Ependymoma	stranded	1	FALSE
HALLMARK_APOPTOSIS	3.940473858844846	0.018754154192174338	Ependymoma	stranded	0.9377077096087169	FALSE
HALLMARK_BILE_ACID_METABOLISM	0.768441034462477	0.521732453875334	Ependymoma	stranded	1	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	1.4384577243039918	0.25343139336492587	Ependymoma	stranded	1	FALSE
HALLMARK_COAGULATION	2.8438400897401044	0.056392603554521116	Ependymoma	stranded	1	FALSE
HALLMARK_COMPLEMENT	8.110379038113505	5.204040847865643e-4	Ependymoma	stranded	0.026020204239328215	FALSE
HALLMARK_DNA_REPAIR	1.1150633836230919	0.36028350421064	Ependymoma	stranded	1	FALSE
HALLMARK_E2F_TARGETS	1.2004513891618307	0.3284154480154047	Ependymoma	stranded	1	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	3.011389025033577	0.04744468603218632	Ependymoma	stranded	1	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	1.7759159630995247	0.1755149799238794	Ependymoma	stranded	1	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	1.9587860861548165	0.14399089871848791	Ependymoma	stranded	1	FALSE
HALLMARK_FATTY_ACID_METABOLISM	0.4190907195203241	0.7407515922516448	Ependymoma	stranded	1	FALSE
HALLMARK_G2M_CHECKPOINT	1.0539413998141847	0.38489010126555945	Ependymoma	stranded	1	FALSE
HALLMARK_GLYCOLYSIS	1.2308788129050783	0.31773249204288395	Ependymoma	stranded	1	FALSE
HALLMARK_HEDGEHOG_SIGNALING	1.9233734307525425	0.1496053706631863	Ependymoma	stranded	1	FALSE
HALLMARK_HEME_METABOLISM	0.5587519114676565	0.6468072470267806	Ependymoma	stranded	1	FALSE
HALLMARK_HYPOXIA	1.2992467396963367	0.2949516618469893	Ependymoma	stranded	1	FALSE
HALLMARK_IL2_STAT5_SIGNALING	4.881894135558388	0.00771098354740612	Ependymoma	stranded	0.385549177370306	FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	6.698354050822075	0.0015908066176872498	Ependymoma	stranded	0.07954033088436249	FALSE
HALLMARK_INFLAMMATORY_RESPONSE	7.149358427046472	0.001102608694052445	Ependymoma	stranded	0.05513043470262225	FALSE
HALLMARK_INTERFERON_ALPHA_RESPONSE	4.5264493877855045	0.010721128637489977	Ependymoma	stranded	0.5360564318744989	FALSE
HALLMARK_INTERFERON_GAMMA_RESPONSE	5.6418810039634915	0.0039016976424545704	Ependymoma	stranded	0.1950848821227285	FALSE
HALLMARK_KRAS_SIGNALING_DN	0.17682009062355367	0.9111639023958527	Ependymoma	stranded	1	FALSE
HALLMARK_KRAS_SIGNALING_UP	6.856089628549467	0.0013978900601714023	Ependymoma	stranded	0.06989450300857011	FALSE
HALLMARK_MITOTIC_SPINDLE	0.07366205090906668	0.9736084052682236	Ependymoma	stranded	1	FALSE
HALLMARK_MTORC1_SIGNALING	0.7094160849729223	0.554820557554134	Ependymoma	stranded	1	FALSE
HALLMARK_MYC_TARGETS_V1	0.8157346396569473	0.49643539673986603	Ependymoma	stranded	1	FALSE
HALLMARK_MYC_TARGETS_V2	1.7080009095206317	0.18895303021253726	Ependymoma	stranded	1	FALSE
HALLMARK_MYOGENESIS	1.1690041318862507	0.3398224149936781	Ependymoma	stranded	1	FALSE
HALLMARK_NOTCH_SIGNALING	0.6267747147956515	0.6039641832096994	Ependymoma	stranded	1	FALSE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.7790688122318187	0.5159538056111103	Ependymoma	stranded	1	FALSE
HALLMARK_P53_PATHWAY	1.7420711546094905	0.18208516908755548	Ependymoma	stranded	1	FALSE
